Categoría del producto,Nombre,Campaña,Precio de venta
DULCECITOS,HUEVITO DE CHOCOAVELLANA,PASCUA,12.5
DULCECITOS,HUEVITO DUBAI DE PISTACHO,PASCUA,12.5
DULCECITOS,HUEVITO TURRON DE CHOCOLATE,PASCUA,12.5
PACK DULCECITOS,JAR BROWNIES & BLONDIES PATTY POTE X 200G,,25
PACK DULCECITOS,JAR GALLETAS CHOCO CHIPS Y TOFFEE PATTY 200G,,25
PACK DULCECITOS,JAR MEDIANO DE GALLETAS MIXTAS 200 GR,,25
KEKES,JARDIN DE LA ABUELA,DIA DE LA MADRE,65
KEKES,JARDIN DE LA ABUELA MINI,DIA DE LA MADRE,35
POSTRES ENTEROS,JARDIN MAGICO DE PERA GRANDE,DIA DE LA MADRE,115
POSTRES ENTEROS,JARDIN MAGICO DE PERA MEDIANO,DIA DE LA MADRE,105
KEKES,KEKE DE LA ABUELA ENTERO,,59
INDIVIDUALES,KEKE DE LA ABUELA INDIV,,9
DULCECITOS,MINI ALFAJORCITO,,3
MINI TORTAS,MINI BOSQUE DE CHOCOLATE,DIA DE LA MADRE,52
MINI TORTAS,MINI BOSQUE DE LUCUMA,DIA DE LA MADRE,52
MINI TORTAS,MINI BOSQUE DE ZANAHORIA,DIA DE LA MADRE,52
DULCECITOS,MINI GALLETA DE TOFFEE,,3.5
PACK DULCECITOS,MINI GALLETAS PARA MAMA X9,DIA DE LA MADRE,39
KEKES,MINI KEKE DE LA ABUELA - MAMA,DIA DE LA MADRE,39
MINI TORTAS,MINI TORTA  DE CHOCOLUCUMA,,52
MINI TORTAS,MINI TORTA DE CHOCOLATE,,52
MINI TORTAS,MINI TORTA DE PASCUA,PASCUA,52
MINI TORTAS,MINI TORTA DE ZANAHORIA,,52
MINI TORTAS,MINI TORTA ESPECIAL,,65
MINI TORTAS,MINI TORTA RED VELVET,,52
PACK DULCECITOS,MINI TRUFAS PARA MAMA X12,DIA DE LA MADRE,39
POSTRES ENTEROS,MOLDE DE TURRON DE CAMOTE Y PINA MEDIANO,OCTUBRE,35
POSTRES ENTEROS,MOUSSE DE CHOCOLUCUMA GRANDE,,129
INDIVIDUALES,MOUSSE DE CHOCOLUCUMA INDV,,16
PACK DULCECITOS,PACK X6 ENCUENTRAME SI PUEDES,PASCUA,69
PACK DULCECITOS,PACK X8 ENCUENTRAME SI PUEDES,PASCUA,89
POSTRES ENTEROS,PIE DE LIMON GRANDE,,95
INDIVIDUALES,PIE DE LIMON INDIV,,16
POSTRES ENTEROS,PIE DE LIMON PARA PAPA GRANDE,DIA DEL PADRE,95
POSTRES ENTEROS,PIE DE MANZANA GRANDE,,90
INDIVIDUALES,PIE DE MANZANA INDIV,,16
POSTRES ENTEROS,PIE DE MANZANA PARA MAMA GRANDE,DIA DE LA MADRE,89
POSTRES ENTEROS,PIE DE PECANAS GRANDE,,105
POSTRES ENTEROS,PIONONO DE CHIRIMOYA GRANDE,DIA DE LA MADRE,99
SALADOS,QUICHE CAPRESSE ENTERO,,80
INDIVIDUALES,QUICHE CAPRESSE INDIV,,14
SALADOS,QUICHE CEBOLLA Y QUESO ENTERO,,80
INDIVIDUALES,QUICHE CEBOLLA Y QUESO INDIV,,14
SALADOS,QUICHE PORO Y TOCINO ENTERO,,80
INDIVIDUALES,QUICHE PORO Y TOCINO INDIV,,14
SALADOS,SANDWICH CAPRESSE,,16
SALADOS,SANDWICH DE POLLO,,18
SALADOS,SANDWICH MIXTO,,16
POSTRES ENTEROS,SOUFFLE DE FRESAS GRANDE,,99
POSTRES ENTEROS,SOUFFLE DE MANGO GRANDE,,99
POSTRES ENTEROS,TORTA ANIVERSARIO GRANDE,ANIVERSARIO,159
POSTRES ENTEROS,TORTA BROWNIE DUBAI DE CREMA DE AVELLANAS XL,,159
POSTRES ENTEROS,TORTA DE ALFAJOR DUBAI XL,,149
POSTRES ENTEROS,TORTA DE CHOCOLATE CLASICA CELEBRA CON PATTY GRANDE,CELEBRA,105
POSTRES ENTEROS,TORTA DE CHOCOLATE CLASICA CELEBRA CON PATTY MEDIANA,CELEBRA,82
POSTRES ENTEROS,TORTA DE CHOCOLATE CLASICA GRANDE,,95
POSTRES ENTEROS,TORTA DE CHOCOLATE CON CREMA DE AVELLANAS GRANDE,,120
POSTRES ENTEROS,TORTA DE CHOCOLATE CON MANJAR CELEBRA CON PATTY GRANDE,CELEBRA,105
POSTRES ENTEROS,TORTA DE CHOCOLATE CON MANJAR CELEBRA GRANDE,CELEBRA,82
POSTRES ENTEROS,TORTA DE CHOCOLATE CON MANJAR CELEBRA MEDIANA,CELEBRA,82
POSTRES ENTEROS,TORTA DE CHOCOLATE CON MANJAR GRANDE,,95
POSTRES ENTEROS,TORTA DE CHOCOLATE GRANDE PARA PAPA,DIA DEL PADRE,105
POSTRES ENTEROS,TORTA DE CHOCOLATE MEDIANA PARA PAPA,DIA DEL PADRE,82
POSTRES ENTEROS,TORTA DE CHOCOLUCUMA GRANDE,,105
POSTRES ENTEROS,TORTA DE CHOCOLUCUMA MEDIANA,,82
POSTRES ENTEROS,TORTA DE CHOCOPISTACHO GRANDE,,149
POSTRES ENTEROS,TORTA DE CHOCOPISTACHO MEDIANA,,120
POSTRES ENTEROS,TORTA DE PERA GRANDE,,115
POSTRES ENTEROS,TORTA DE PERA MEDIANA,,90
POSTRES ENTEROS,TORTA DE ZANAHORIA CELEBRA GRANDE,CELEBRA,105
POSTRES ENTEROS,TORTA DE ZANAHORIA CELEBRA MEDIANA,CELEBRA,82
POSTRES ENTEROS,TORTA DE ZANAHORIA GRANDE,,95
POSTRES ENTEROS,TORTA DE ZANAHORIA MEDIANA PARA PAPA,DIA DEL PADRE,82
POSTRES ENTEROS,TORTA DE ZANAHORIA PARA PAPA GRANDE,DIA DEL PADRE,105
POSTRES ENTEROS,TORTA RED VELVET GRANDE,,105
POSTRES ENTEROS,TORTA RED VELVET MEDIANA,,82
POSTRES ENTEROS,TORTA TRES LECHES CLASICA GRANDE,,95
POSTRES ENTEROS,TORTA TRES LECHES DE FRESA GRANDE,,99
POSTRES ENTEROS,TORTA TRES LECHES DE LUCUMA GRANDE,,99
POSTRES ENTEROS,TORTA TRES LECHES DE PISTACHO GRANDE,,129
INDIVIDUALES,TORTA TRES LECHES INDIV,,16
POSTRES ENTEROS,TORTA TRUFADA GRANDE,,120
SALADOS,TRIPLE DE POLLO,,11
DULCECITOS,TRUFA DE CHOCOLATE,,3
DULCECITOS,TRUFA DE PISTACHO,,4
POSTRES ENTEROS,TURRON DE CAMOTE Y PINA INDIV,OCTUBRE,13
POSTRES ENTEROS,TURRON DE CHOCOLATE CHICO,,55
POSTRES ENTEROS,TURRON DE CHOCOLATE CHICO PARA MAMA,DIA DE LA MADRE,55
POSTRES ENTEROS,TURRON DE CHOCOLATE CHICO PARA PAPA,DIA DEL PADRE,55
POSTRES ENTEROS,TURRON DE CHOCOLATE GRANDE,,75
POSTRES ENTEROS,TURRON DE CHOCOLATE GRANDE PARA MAMA,DIA DE LA MADRE,75
INDIVIDUALES,TURRON DE CHOCOLATE INDIV,,14
POSTRES ENTEROS,TURRON DE CHOCOLATE PARA PAPA GRANDE,DIA DEL PADRE,75
POSTRES ENTEROS,TURRON DE DONA PEPA GRANDE,OCTUBRE,69
POSTRES ENTEROS,TURRON DE DONA PEPA INDIV,OCTUBRE,12
POSTRES ENTEROS,TURRON DE DONA PEPA MEDIANO,OCTUBRE,35
